UC;UC07;;
Ano;2009-2010;;
Epoca;NM;;
Data;5/2/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1010003;19;17;18
1010012;0;  ;SM 
1010023;10;10;10
1010024;19;16;18
1010034;14;18;15
1010037;NF ;  ;  
1010040;0;  ;SM 
1010056;15;17;16
1010063;0;  ;SM 
1010068;0;  ;SM 
1010088;14;18;15
1010098;19;19;19
1020012;0;  ;SM 
1020014;0;  ;SM 
1020015;10;18;13
1020020;0;  ;SM 
1020025;11;16;13
1020045;19;18;19
1030016;10;14;11
1030020;16;19;17
1030024;8;  ;SM 
1030027;0;  ;SM 
1030040;0;  ;SM 
1040037;0;  ;SM 
1040043;10;19;13
1050003;14;11;13
1050004;19;13;17
1050024;15;14;15
1050033;0;  ;SM 
1050036;6;  ;SM 
1050037;10;16;12
1050058;13;13;13
1050060;14;16;15
1050061;0;  ;SM 
1050069;19;9;16
1050077;14;16;15
1060005;NC ;12;NC 
1060007;14;17;15
1060018;4;  ;SM 
1060026;14;14;14
1060028;16;17;16
1060029;4;  ;SM 
1060032;11;16;13
1060036;10;15;12
1060040;4;  ;SM 
1060041;14;14;14
1060057;0;  ;SM 
1060060;12;15;13
1060067;0;  ;SM 
1060073;10;14;11
1060080;14;18;15
1060081;4;  ;SM 
1060086;14;12;13
1060087;12;18;14
1060088;6;  ;SM 
1060098;0;  ;SM 
1060109;11;18;14
1060122;10;11;10
1060131;11;19;14
1060134;10;15;12
1060139;4;  ;SM 
1070001;8;  ;SM 
1070005;17;17;17
1070014;6;  ;SM 
1070016;0;  ;SM 
1070021;13;14;13
1070027;12;15;13
1070028;0;  ;SM 
1070029;10;13;11
1070030;10;18;13
1070031;0;  ;SM 
1070032;10;18;13
1070033;11;14;12
1070035;12;17;14
1070036;12;16;13
1070037;11;15;12
1070042;14;13;14
1070043;14;15;14
1070048;13;15;14
1070056;14;19;16
1070059;6;  ;SM 
1070060;10;20;14
1070065;17;14;16
1070068;14;16;15
1070071;8;  ;SM 
1070077;11;12;11
1070080;14;11;13
1070084;16;19;17
1070085;6;  ;SM 
1070086;12;19;15
1070095;16;15;16
1070098;13;16;14
1070099;13;15;14
1070102;15;12;14
1070103;10;16;12
1070104;14;14;14
1070107;14;17;15
1070108;8;  ;SM 
1070111;17;FT ;11
1070117;6;  ;SM 
1070121;13;15;14
1070123;6;  ;SM 
1070126;10;11;10
1070141;10;10;10
1070148;14;19;16
1070149;16;14;15
1070153;0;  ;SM 
1070155;10;17;13
1070161;16;14;15
1070163;15;16;15
1070169;11;18;14
1070172;11;19;14
1080004;0;  ;SM 
1080008;16;12;15
1080011;8;  ;SM 
1080013;18;19;18
1080014;15;14;15
1080016;14;15;14
1080017;8;  ;SM 
1080019;13;13;13
1080021;0;  ;SM 
1080022;0;  ;SM 
1080023;14;13;14
1080024;17;8;14
1080025;13;20;16
1080028;12;16;13
1080029;7;  ;SM 
1080032;15;14;15
1080033;10;12;11
1080036;17;16;17
1080042;16;16;16
1080043;10;9;10
1080044;16;13;15
1080045;12;15;13
1080047;10;18;13
1080048;16;12;15
1080052;18;15;17
1080054;10;15;12
1080055;12;14;13
1080057;15;19;16
1080058;7;  ;SM 
1080059;19;17;18
1080060;16;16;16
1080061;10;18;13
1080064;16;15;16
1080067;12;12;12
1080068;15;16;15
1080069;8;  ;SM 
1080070;11;17;13
1080072;15;17;16
1080073;18;15;17
1080078;15;14;15
1080079;19;8;15
1080080;16;16;16
1080082;10;13;11
1080083;13;15;14
1080084;14;14;14
1080085;16;11;14
1080086;16;5;12
1080088;10;16;12
1080089;15;18;16
1080090;15;16;15
1080092;7;  ;SM 
1080093;15;16;15
1080094;13;17;14
1080096;12;3;9
1080097;19;13;17
1080098;13;13;13
1080100;14;17;15
1080101;16;15;16
1080102;10;20;14
1080103;12;18;14
1080107;10;14;11
1080108;12;14;13
1080109;16;10;14
1080110;10;12;11
1080112;16;14;15
1080115;16;13;15
1080117;10;18;13
1080118;13;8;11
1080121;14;16;15
1080122;12;17;14
1080124;16;11;14
1080125;10;14;11
1080126;14;19;16
1080127;0;  ;SM 
1080128;10;16;12
1080129;12;19;15
1080131;19;13;17
1080132;13;12;13
1080134;14;15;14
1080135;11;14;12
1080140;10;17;13
1080141;10;10;10
1080145;11;11;11
1080146;8;  ;SM 
1080147;10;15;12
1080148;13;14;13
1080149;18;16;17
1080151;15;20;17
1080154;11;18;14
1080155;14;18;15
1080158;12;16;13
1080161;12;16;13
1080162;11;20;14
1080163;15;16;15
1080166;14;16;15
1080169;15;18;16
1080170;12;14;13
1080171;16;11;14
1080173;10;12;11
1080174;12;20;15
1080176;7;  ;SM 
1080178;16;9;14
1080179;12;15;13
1080182;18;19;18
1080186;0;  ;SM 
1080191;8;  ;SM 
1080193;13;15;14
1080205;16;11;14
1080206;16;14;15
1090173;0;  ;SM 
