UC;UC06;;
Ano;2009-2010;;
Epoca;NM;;
Data;2/2/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1020014;0;FT ;NC 
1020006;0;FT ;NC 
1020012;0;FT ;NC 
1020008;0;FT ;NC 
1020018;12;6;9
1020003;10;5;8
1020047;13;FT ;NC 
1020046;10;7;9
1020053;0;FT ;NC 
1020054;12;7;SM 
1020026;0;FT ;NC 
1020045;17;7;SM 
1020025;11;FT ;NC 
1020027;0;FT ;NC 
1030016;10;7;9
1030017;11;5;8
1030024;7;FT ;NC 
1030035;0;FT ;NC 
1030013;11;7;9
1030031;14;7;SM 
1030040;8;5;7
1030021;14;4;9
1030022;14;11;13
1030048;14;7;SM 
1030002;0;FT ;NC 
1040025;15;9;12
1040056;12;FT ;NC 
1040035;12;6;9
1040037;0;FT ;NC 
1040054;14;5;SM 
1040005;13;7;SM 
1040030;12;6;9
1040043;3;FT ;NC 
1040053;0;FT ;NC 
1040008;11;5;8
1040014;14;FT ;NC 
1040039;13;8;11
1050024;10;3;7
1050044;11;8;10
1050049;10;8;9
1050069;14;7;SM 
1050085;0;FT ;NC 
1050004;14;FT ;NC 
1050010;10;6;8
1050014;15;10;13
1050017;14;11;13
1050023;10;7;9
1050025;10;8;9
1050030;14;8;11
1050035;12;7;SM 
1050037;0;FT ;NC 
1050041;13;7;SM 
1050045;14;8;11
1050018;8;4;6
1050061;0;FT ;NC 
1050067;1;FT ;NC 
1050078;12;6;9
1050053;11;7;9
1050058;13;7;SM 
1060073;9;5;7
1060082;12;6;9
1060088;8;4;6
1060114;14;3;9
1060131;11;6;9
1060019;15;6;SM 
1060031;10;4;7
1060037;14;5;SM 
1060062;12;7;SM 
1060064;12;5;9
1060079;12;10;11
1060086;9;FT ;NC 
1060093;0;FT ;NC 
1060109;11;7;9
1060115;12;9;11
1060116;10;5;8
1060120;10;7;9
1060122;9;5;7
1060124;7;FT ;NC 
1060130;11;5;8
1060133;12;9;11
1060134;7;FT ;NC 
1060135;13;6;SM 
1060137;11;6;9
1060138;8;8;8
1060141;17;13;15
1060002;13;3;8
1060005;14;10;12
1060007;7;FT ;NC 
1060009;17;9;13
1060010;11;FT ;NC 
1060013;10;4;7
1060018;10;9;10
1060028;17;FT ;NC 
1060030;10;5;8
1060032;12;FT ;NC 
1060034;12;4;8
1060036;9;FT ;NC 
1060040;6;FT ;NC 
1060060;13;FT ;NC 
1060066;14;8;11
1060067;0;FT ;NC 
1060074;14;12;13
1060080;12;6;9
1060081;9;5;7
1060089;10;6;8
1060094;0;FT ;NC 
1060099;0;FT ;NC 
1060104;9;4;7
1060111;11;5;8
1060139;9;7;8
1060098;0;FT ;NC 
1060022;13;6;SM 
1060026;13;6;SM 
1060027;16;6;SM 
1060029;10;FT ;NC 
1060035;11;6;9
1060041;13;6;SM 
1060057;2;FT ;NC 
1060063;13;6;SM 
1060075;10;6;8
1060087;13;11;12
1060092;13;8;11
1070136;14;5;SM 
1070162;14;7;SM 
1070167;13;11;12
1070169;12;5;9
1070177;15;7;SM 
1070002;0;FT ;NC 
1070012;15;7;SM 
1070019;0;FT ;NC 
1070028;0;FT ;NC 
1070031;0;FT ;NC 
1070037;12;4;8
1070058;14;FT ;NC 
1070063;16;8;12
1070084;17;FT ;NC 
1070085;8;FT ;NC 
1070092;14;13;14
1070095;15;5;SM 
1070098;13;5;9
1070100;14;10;12
1070103;8;FT ;NC 
1070108;10;4;7
1070117;8;6;7
1070122;14;8;11
1070123;8;FT ;NC 
1070126;8;FT ;NC 
1070131;14;13;14
1070134;10;3;7
1070141;8;FT ;NC 
1070147;0;FT ;NC 
1070148;15;7;SM 
1070149;15;7;SM 
1070154;15;10;13
1070155;9;6;8
1070172;10;8;9
1070181;11;8;10
1070001;10;7;9
1070004;0;FT ;NC 
1070014;9;4;7
1070016;0;FT ;NC 
1070021;12;6;9
1070027;12;8;10
1070030;9;6;8
1070036;14;9;12
1070044;9;5;7
1070060;9;FT ;NC 
1070066;14;8;11
1070068;16;6;SM 
1070071;11;5;8
1070072;11;7;9
1070080;15;8;12
1070161;16;4;SM 
1070176;10;7;9
1070179;15;9;12
1070005;16;7;SM 
1070011;12;6;9
1070013;12;6;9
1070029;10;4;7
1070032;9;9;9
1070033;7;FT ;NC 
1070035;12;6;9
1070042;16;5;SM 
1070046;10;9;10
1070048;10;5;8
1070059;9;FT ;NC 
1070062;12;8;10
1070065;16;7;SM 
1070077;11;4;8
1070086;12;5;9
1070091;10;5;8
1070102;15;7;SM 
1070104;15;5;SM 
1070109;12;4;8
1070111;13;3;8
1070114;10;9;10
1070118;12;4;8
1070119;14;5;SM 
1070121;11;5;8
1070125;11;3;7
1070099;13;10;12
1080079;14;10;12
1080083;10;5;8
1080085;16;5;SM 
1080088;10;7;9
1080090;12;11;12
1080092;5;FT ;NC 
1080093;14;7;SM 
1080098;9;5;7
1080102;10;FT ;NC 
1080103;14;7;SM 
1080108;12;6;9
1080109;15;5;SM 
1080112;16;6;SM 
1080115;17;5;SM 
1080118;13;FT ;NC 
1080121;13;9;11
1080124;17;9;13
1080126;13;11;12
1080128;10;5;8
1080131;14;8;11
1080132;13;10;12
1080134;12;8;10
1080140;7;FT ;NC 
1080145;7;FT ;NC 
1080147;10;5;8
1080154;11;FT ;NC 
1080156;10;6;8
1080161;10;6;8
1080169;11;9;10
1080173;6;FT ;NC 
1080174;9;5;7
1080179;14;8;11
1080186;8;FT ;NC 
1080191;7;FT ;NC 
1080205;15;6;SM 
1080014;14;6;SM 
1080019;13;7;SM 
1080024;16;9;13
1080028;9;7;8
1080033;10;3;7
1080037;0;FT ;NC 
1080043;10;FT ;NC 
1080045;12;5;9
1080046;0;FT ;NC 
1080052;14;9;12
1080054;10;10;10
1080055;11;6;9
1080057;16;9;13
1080061;10;6;8
1080067;13;7;SM 
1080068;11;8;10
1080069;8;3;6
1080070;8;FT ;NC 
1080071;0;FT ;NC 
1080072;12;FT ;NC 
1080073;16;5;SM 
1080078;16;7;SM 
1080080;15;9;12
1080082;10;5;8
1080084;13;6;SM 
1080086;16;10;13
1080089;14;6;SM 
1080094;13;8;11
1080096;14;10;12
1080097;15;7;SM 
1080100;15;6;SM 
1080101;16;12;14
1080107;10;6;8
1080110;8;FT ;NC 
1080117;8;FT ;NC 
1080122;10;7;9
1080125;10;11;11
1080127;0;FT ;NC 
1080129;9;8;9
1080135;10;10;10
1080141;7;FT ;NC 
1080149;15;7;SM 
1080155;14;12;13
1080158;14;11;13
1080162;8;FT ;NC 
1080170;11;5;8
1080176;5;FT ;NC 
1080178;15;4;SM 
1080187;15;9;12
1080193;10;9;10
1080206;17;6;SM 
1080008;16;10;13
1080016;13;FT ;NC 
1080025;13;6;SM 
1080029;5;FT ;NC 
1080032;10;7;9
1080044;16;10;13
1080047;8;FT ;NC 
1080048;13;6;SM 
1080182;15;7;SM 
1080011;6;FT ;NC 
1080013;15;13;14
1080017;6;FT ;NC 
1080021;0;FT ;NC 
1080022;0;FT ;NC 
1080026;15;14;15
1080036;17;7;SM 
1080042;15;9;12
1080146;10;FT ;NC 
1080148;12;8;10
1080151;14;7;SM 
1080163;10;7;9
1080166;14;7;SM 
1080171;15;11;13
1080181;15;6;SM 
1080183;0;FT ;NC 
1080192;13;7;SM 
1080002;10;4;7
1080004;0;FT ;NC 
1080023;15;8;12
1080058;5;FT ;NC 
1080059;18;11;15
