UC;UC08;;
Ano;2009-2010;;
Epoca;NM;;
Data;5/7/2010;;
;;;
Numero;Freq. ;Exame ;Resultado 
1010003;9;7;8
1010006;17;11;13
1010021;7;  ;SM 
1010023;12;6;8
1010024;15;12;13
1010028;NF ;  ;  
1010034;16;FT ;NC 
1010040;NF ;  ;  
1010054;NF ;  ;  
1010061;NF ;  ;  
1010068;3;  ;SM 
1010081;4;  ;SM 
1010082;10;FT ;NC 
1010088;14;7;SM 
1010092;12;8;10
1010094;NF ;  ;  
1010099;4;  ;SM 
1010100;NF ;  ;  
1010101;3;  ;SM 
1020002;NF ;  ;  
1020006;NF ;  ;  
1020026;2;  ;SM 
1020027;9;FT ;NC 
1020042;NC ;  ;SM 
1020045;16;11;13
1020047;11;FT ;NC 
1020055;12;5;8
1030001;15;14;14
1030002;NF ;  ;  
1030005;NF ;  ;  
1030012;15;12;13
1030016;13;11;12
1030019;NF ;  ;  
1030024;15;9;11
1030025;NF ;  ;  
1030026;11;10;10
1030027;NC ;  ;SM 
1030031;17;7;SM 
1030033;14;10;12
1030034;14;FT ;NC 
1030035;NF ;  ;  
1030039;1;  ;SM 
1030040;11;FT ;NC 
1030043;4;FT ;SM 
1040001;11;FT ;NC 
1040007;14;12;13
1040008;3;  ;SM 
1040014;16;13;14
1040015;NF ;  ;  
1040017;NC ;  ;SM 
1040018;10;8;9
1040023;11;9;10
1040024;NF ;  ;  
1040026;9;FT ;NC 
1040034;14;10;12
1040037;NC ;  ;SM 
1040045;14;10;12
1040049;0;  ;SM 
1040057;13;7;9
1050004;14;8;10
1050006;NC ;  ;SM 
1050007;12;6;8
1050010;12;11;11
1050011;NF ;  ;  
1050022;14;12;13
1050024;11;10;10
1050036;10;FT ;NC 
1050037;0;  ;SM 
1050040;13;12;12
1050044;16;11;13
1050054;10;6;8
1050058;15;8;11
1050061;NF ;  ;  
1050063;5;  ;SM 
1050067;12;11;11
1050069;17;14;15
1050075;12;FT ;NC 
1050078;13;12;12
1050088;NF ;  ;  
1060002;NF ;  ;  
1060005;17;11;13
1060012;13;10;11
1060013;17;5;SM 
1060017;17;11;15
1060020;NC ;0;SM 
1060023;NF ;  ;  
1060026;13;10;11
1060027;15;12;13
1060028;17;12;14
1060029;9;4;6
1060030;16;10;12
1060032;9;6;7
1060036;14;7;SM 
1060040;8;7;7
1060041;13;11;12
1060052;4;  ;SM 
1060053;13;12;12
1060056;4;  ;SM 
1060057;12;10;11
1060058;NF ;  ;  
1060060;12;8;10
1060061;6;  ;SM 
1060064;14;8;10
1060067;0;  ;SM 
1060073;14;8;10
1060081;6;  ;SM 
1060085;9;3;5
1060086;13;FT ;NC 
1060088;11;5;7
1060089;NF ;  ;  
1060093;10;2;5
1060094;10;6;8
1060095;NF ;  ;  
1060097;6;  ;SM 
1060099;11;9;10
1060101;NF ;  ;  
1060104;4;  ;SM 
1060109;17;8;12
1060116;16;10;12
1060120;15;13;14
1060122;14;9;11
1060123;16;11;13
1060134;13;10;11
1060139;8;6;7
1060143;16;9;12
1070001;12;5;8
1070005;17;14;15
1070012;13;10;11
1070014;12;10;11
1070016;NF ;  ;  
1070020;14;5;9
1070021;14;10;12
1070027;16;11;13
1070028;NC ;  ;SM 
1070029;14;9;11
1070030;14;12;13
1070032;15;12;13
1070033;13;8;10
1070035;15;11;13
1070036;16;10;12
1070042;15;11;13
1070043;13;8;10
1070044;12;FT ;NC 
1070045;NC ;  ;SM 
1070048;12;7;9
1070049;16;11;13
1070057;14;12;13
1070058;14;9;11
1070059;13;FT ;NC 
1070060;15;8;11
1070062;15;6;SM 
1070063;14;11;12
1070065;17;10;13
1070066;14;10;12
1070068;15;9;11
1070069;NF ;  ;  
1070073;11;6;8
1070074;13;12;12
1070075;5;  ;SM 
1070077;16;4;9
1070080;11;9;10
1070081;15;7;SM 
1070082;14;11;12
1070084;17;10;13
1070085;12;FT ;NC 
1070086;15;9;11
1070095;14;10;12
1070098;13;6;9
1070099;16;6;SM 
1070102;16;8;11
1070103;13;9;11
1070104;11;9;10
1070108;11;10;10
1070109;15;12;13
1070110;11;6;8
1070111;NC ;  ;SM 
1070113;16;10;12
1070117;12;8;10
1070120;13;7;9
1070121;13;7;9
1070123;11;FT ;NC 
1070125;13;9;11
1070126;14;10;12
1070135;12;4;7
1070137;NC ;  ;SM 
1070141;11;4;7
1070146;NF ;  ;  
1070148;14;12;13
1070149;15;9;11
1070153;15;5;9
1070155;16;10;12
1070170;13;9;11
1070173;0;  ;SM 
1070179;13;11;12
1080002;11;9;10
1080003;11;7;9
1080004;NF ;  ;  
1080008;15;11;13
1080010;12;7;9
1080011;10;7;8
1080013;18;16;17
1080014;13;14;14
1080016;14;5;9
1080017;7;  ;SM 
1080019;16;10;12
1080021;NC ;  ;SM 
1080022;NC ;  ;SM 
1080023;12;10;11
1080024;16;12;14
1080025;15;9;11
1080026;17;16;16
1080028;13;10;11
1080029;15;7;SM 
1080030;9;7;8
1080032;11;9;10
1080033;12;9;10
1080036;15;11;13
1080041;8;8;8
1080042;14;5;9
1080043;12;9;10
1080044;14;12;13
1080045;15;12;13
1080046;NF ;  ;  
1080047;16;11;13
1080048;13;8;10
1080050;15;9;11
1080052;15;11;13
1080053;12;6;8
1080054;14;13;13
1080055;13;9;11
1080057;15;14;14
1080058;14;12;13
1080059;10;14;12
1080060;17;15;16
1080061;12;8;10
1080064;15;11;13
1080067;16;15;15
1080068;17;14;15
1080069;14;8;10
1080070;13;9;11
1080072;15;14;14
1080073;16;14;15
1080076;14;11;12
1080078;16;12;14
1080079;15;11;13
1080080;12;10;11
1080082;13;8;10
1080083;14;8;10
1080084;14;11;12
1080085;14;9;11
1080086;13;11;12
1080088;13;8;10
1080089;15;FT ;NC 
1080090;15;16;16
1080091;10;FT ;NC 
1080092;16;10;12
1080093;16;15;15
1080094;16;10;12
1080096;15;13;14
1080097;17;10;13
1080098;10;6;8
1080100;13;9;11
1080101;13;13;13
1080102;14;8;10
1080103;15;12;13
1080106;12;10;11
1080107;14;11;12
1080108;15;12;13
1080109;13;9;11
1080110;13;8;10
1080112;14;11;12
1080115;16;10;12
1080117;16;11;13
1080118;10;10;10
1080121;15;14;14
1080122;16;11;13
1080123;14;9;11
1080124;19;14;16
1080125;14;11;12
1080126;17;13;15
1080127;NC ;  ;SM 
1080128;12;5;8
1080129;11;14;13
1080130;4;  ;SM 
1080131;13;10;11
1080132;16;13;14
1080133;1;  ;SM 
1080134;13;9;11
1080135;15;12;13
1080140;15;11;13
1080141;10;10;10
1080145;12;9;10
1080146;10;10;10
1080147;14;11;12
1080148;15;8;11
1080149;14;11;12
1080151;16;11;13
1080154;14;8;10
1080155;18;13;15
1080156;10;13;12
1080157;0;  ;SM 
1080158;16;12;14
1080160;8;7;7
1080161;15;6;SM 
1080162;14;9;11
1080163;14;8;10
1080166;15;10;12
1080169;17;11;13
1080170;15;12;13
1080171;13;11;12
1080173;14;11;12
1080174;12;12;12
1080175;12;7;9
1080176;16;11;13
1080178;16;9;12
1080179;16;15;15
1080182;17;12;14
1080186;12;FT ;NC 
1080190;NF ;  ;  
1080191;14;9;11
1080193;15;11;13
1080194;14;9;11
1080202;13;9;11
1080205;11;10;10
1080206;18;12;14
1080209;14;8;10
1090100;16;17;17
1090166;NF ;  ;  
1090177;9;3;5
